order_id,customer_id,order_status,order_date,required_date,shipped_date,store_id,staff_id
420,72,4,05-09-16,06-09-16,07-09-16,1,3
937,73,4,11-06-17,14-06-17,13-06-17,2,7
464,74,4,28-09-16,30-09-16,29-09-16,2,7
152,76,4,29-03-16,30-03-16,30-03-16,2,6
407,77,3,01-09-16,01-09-16,NULL,3,8
435,77,4,14-09-16,15-09-16,16-09-16,3,9
801,78,4,28-03-17,29-03-17,30-03-17,1,2
707,79,4,09-02-17,11-02-17,11-02-17,2,7
34,80,4,22-01-16,25-01-16,23-01-16,2,6
679,81,4,29-01-17,30-01-17,30-01-17,1,3
961,82,4,19-06-17,21-06-17,22-06-17,1,2
327,83,4,21-07-16,24-07-16,22-07-16,2,6
129,84,4,19-03-16,21-03-16,21-03-16,2,7
128,86,4,18-03-16,20-03-16,21-03-16,2,6
747,87,4,03-03-17,04-03-17,05-03-17,1,3
418,88,4,04-09-16,05-09-16,05-09-16,2,6
561,90,4,19-11-16,22-11-16,22-11-16,2,6
12,91,4,06-01-16,08-01-16,09-01-16,1,2
934,93,4,09-06-17,10-06-17,12-06-17,2,7
6,94,4,04-01-16,07-01-16,05-01-16,2,6
804,95,4,29-03-17,31-03-17,30-03-17,2,6
604,96,4,10-12-16,13-12-16,12-12-16,2,7
867,97,4,01-05-17,03-05-17,02-05-17,1,3
190,98,4,23-04-16,25-04-16,25-04-16,2,6
169,99,4,10-04-16,11-04-16,11-04-16,2,7
448,101,4,21-09-16,22-09-16,24-09-16,2,6
588,102,4,06-12-16,07-12-16,07-12-16,2,7
401,103,4,30-08-16,02-09-16,01-09-16,2,6
554,104,4,13-11-16,14-11-16,16-11-16,1,3
207,105,4,05-05-16,07-05-16,07-05-16,2,7
258,107,4,06-06-16,07-06-16,07-06-16,2,7
516,111,4,21-10-16,23-10-16,24-10-16,2,6
531,116,4,28-10-16,29-10-16,30-10-16,3,8
158,117,3,04-04-16,04-04-16,NULL,3,9
173,117,4,11-04-16,14-04-16,13-04-16,3,8
617,118,4,21-12-16,23-12-16,23-12-16,2,7
741,119,4,28-02-17,01-03-17,01-03-17,3,8
907,120,4,24-05-17,26-05-17,27-05-17,1,2
177,121,4,16-04-16,19-04-16,19-04-16,1,2
738,124,4,28-02-17,01-03-17,03-03-17,1,2
197,127,4,30-04-16,03-05-16,03-05-16,2,7
938,129,4,11-06-17,12-06-17,12-06-17,2,6
626,130,4,25-12-16,28-12-16,27-12-16,2,7
618,131,4,21-12-16,22-12-16,22-12-16,2,6
372,132,4,16-08-16,18-08-16,18-08-16,2,6
287,133,4,25-06-16,26-06-16,27-06-16,2,6
184,134,4,19-04-16,21-04-16,22-04-16,2,7
770,135,4,09-03-17,11-03-17,11-03-17,3,9
743,137,4,01-03-17,04-03-17,04-03-17,2,6
944,138,4,14-06-17,15-06-17,17-06-17,1,3
